,Section_Name,Content,Section_Number
0,DOCUMENT HISTORY,     ,
1,Figure 3.1-1: Study Design Schematic,The study will not have a lead-in period. Screening period will be from time of consent to time  of randomization.,
2,Figure 3.1-1: Study Design Schematic,"The treatment period for all agents, including P2Y12 inhibitor, will be 6 months. In-person study  visits will occur at months 1, 3, 6 (end of treatment) and 30 days post treatment. Phone visits will occur at months 2, 4 and 5. INR monitoring will take place in accordance with routine care at the  respective center but the level of INR control will be collected and centrally monitored. To  assure study drug compliance and maintain INR in target range, at least monthly (via office or  phone) contact will be scheduled in both the apixaban and VKA arms.",
3,Figure 3.1-1: Study Design Schematic,"Adverse events assessments and medication compliance will be performed at study visits.  Laboratory monitoring (hemoglobin, ) and diagnostic testing (ECG, brain CT  or MRI, echocardiography, other imaging studies) will be assessed following suspected clinical  events as per standard of care. The following events will be recorded at each visit: bleeding,  stroke (ischemic and hemorrhagic), myocardial infarction, stent thrombosis, urgent coronary  revascularization, and all-cause re-hospitalization.",
4,SYNOPSIS,Clinical Protocol CV185316                       ,
5,TABLE OF CONTENTS,TITLE PAGE ................................................................................................................  DOCUMENT HISTORY ..............................................................................................  SYNOPSIS ....................................................................................................................  TABLE OF CONTENTS ..............................................................................................  2 ETHICAL CONSIDERATIONS ...............................................................................  2.1 Good Clinical Practice ......................................................................................  2.2 Institutional Review Board/Independent Ethics Committee .............................  2.3 Informed Consent..............................................................................................  3 INVESTIGATIONAL PLAN ....................................................................................  3.1 Study Design and Duration ...............................................................................  3.2 Post Study Access to Therapy ...........................................................................  3.3 Study Population ...............................................................................................  3.3.1 Inclusion Criteria .....................................................................................  3.3.2 Exclusion Criteria ....................................................................................  3.3.3 Women of Childbearing Potential ...........................................................  3.4 Concomitant Treatments ...................................................................................  3.4.1 Prohibited and/or Restricted Treatments.................................................  3.4.2 Pre-Randomization Concomitant Medication .........................................  3.5 Discontinuation of Subjects following any Treatment with Study Drug ..........  3.6 Post Study Drug Study Follow up ....................................................................  3.6.1 Withdrawal of Consent ............................................................................  3.6.2 Lost to Follow-Up ....................................................................................  4 STUDY DRUG ..........................................................................................................  4.1 Investigational Product .....................................................................................  4.2 Non-investigational Product .............................................................................  4.3 Storage of Study Drug ......................................................................................  4.4 Method of Assigning Subject Identification .....................................................  4.5 Selection and Timing of Dose for Each Subject ...............................................  4.6 Blinding/Unblinding .........................................................................................  4.7 Treatment Compliance ......................................................................................  4.8 Destruction or Return of Investigational Product .............................................,
6,TABLE OF CONTENTS, 1 3 5 12 15 21 21 22 22 23 23 24 25 25 26 27 28 28 28 28 28 29 29 29 31 31 31 31 32 32 32 32   4.9 Retained Samples for Bioavailability / Bioequivalence ...................................  5 STUDY ASSESSMENTS AND PROCEDURES .....................................................  5.1 Flow Chart/Time and Events Schedule .............................................................  5.1.1 Retesting During Screening Period .........................................................  5.2 Study Materials .................................................................................................  5.3 Safety Assessments ...........................................................................................  5.3.1 Imaging Assessment for the Study............................................................  5.4 Efficacy Assessments ........................................................................................  5.5 Pharmacokinetic Assessments ..........................................................................  5.7 Outcomes Research Assessments .....................................................................  5.8 Other Assessments ............................................................................................  6 ADVERSE EVENTS .................................................................................................  6.1 Serious Adverse Events ....................................................................................  6.1.1 Serious Adverse Event Collection and Reporting ....................................  6.1.1.1 Protocol Specific Exceptions to SAE Reporting .............................  6.2 Nonserious Adverse Events ..............................................................................  6.2.1 Nonserious Adverse Event Collection and Reporting ..............................  6.3 Laboratory Test Result Abnormalities ..............................................................  6.4 Pregnancy ..........................................................................................................  6.5 Overdose ...........................................................................................................  6.6 Other Safety Considerations .............................................................................  7 DATA MONITORING COMMITTEE AND OTHER EXTERNAL COMMITTEES .................................................................................................................................  8 STATISTICAL CONSIDERATIONS.......................................................................  8.1 Sample Size Determination ...............................................................................  8.2 Populations for Analyses ..................................................................................  8.3 Endpoints ..........................................................................................................  8.3.1 Primary Endpoint(s) ................................................................................  8.3.2 Secondary Endpoint(s) .............................................................................  8.4 Analyses ............................................................................................................  8.4.1 Demographics and Baseline Characteristics...........................................  8.4.2 Efficacy Analyses .....................................................................................  8.4.3 Safety Analyses.........................................................................................  8.4.3.1 The primary set of comparisons between apixaban and VKA ........  8.4.3.2 The secondary set of comparisons between Aspirin and Aspirin  Placebo .................................................................................................  8.4.3.3 Meta-Analysis .................................................................................  8.4.4 Pharmacokinetic Analyses .......................................................................  8.4.6 Outcomes Research Analyses ..................................................................  8.4.7 Other Analyses .........................................................................................  8.5 Interim Analyses ...............................................................................................  9 STUDY MANAGEMENT ........................................................................................  9.1 Compliance .......................................................................................................,
7,TABLE OF CONTENTS, 34 35 35 38 38 38 38 38 38 38 38 38 39 40 41 41 42 42 42 43 43 43 44 44 45 45 45 45 46 46 46 47 47 48 48 48 48 48 48 48 48   9.1.1 Compliance with the Protocol and Protocol Revisions ...........................  9.1.2 Monitoring ...............................................................................................  9.1.2.1 Source Documentation ....................................................................  9.1.3 Investigational Site Training....................................................................  9.2 Records .............................................................................................................  9.2.1 Records Retention ....................................................................................  9.2.2 Study Drug Records .................................................................................  9.2.3 Case Report Forms ..................................................................................  9.3 Clinical Study Report and Publications ............................................................  10 GLOSSARY OF TERMS ........................................................................................  11 LIST OF ABBREVIATIONS ..................................................................................,
8,TABLE OF CONTENTS, 48 49 49 50 50 50 50 51 51 53 54        ,
9,Table 4-1: BMS Supplied Study Drugs for CV185316,"   Apixaban 5 mg and 2.5 mg tablets, as well as VKA and the P2Y12 inhibitors used will be locally  sourced materials (to be purchased by the sites through local commercial sources) wherever  possible and not supplied by Bristol-Myers Squibb. Apixaban 5 mg and 2.5 mg tablets as well as  Warfarin 1 mg and 5 mg tablets listed in Table 4-1 will be supplied in countries where local  sourcing is not an option.",
